snapshot,trial,arm,coverage_category,status,number_eligible,number_selected,number_activated,eligible_pf_ids,selected_pf_ids,selected_intersect_eligible,selected_but_ineligible,eligible_not_selected,pf_order,base_action,revision_action,executed_action,score,cost,optimal,top2,score_difference
S08,1,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;comparison_experiment,,,,,evidence_collection;request_id_trace;comparison_experiment,C,A,A,0.0,3,False,False,-0.25
S08,1,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S09,1,A,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,,A,0.0,3,False,False,0.0
S09,1,B,NO_CLEAR_SUPPORT,valid,2,1,1,evidence_collection;request_id_trace,request_id_trace,request_id_trace,,evidence_collection,request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,1,C,NO_CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,1,D,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S10,1,A,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S10,1,B,AMBIGUOUS_SUPPORT,valid,2,2,1,request_id_trace;binary_isolation,evidence_collection;request_id_trace,request_id_trace,evidence_collection,binary_isolation,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,0.0
S10,1,C,AMBIGUOUS_SUPPORT,valid,2,,2,request_id_trace;binary_isolation,,,,,request_id_trace;binary_isolation,C,A,A,0.0,3,False,False,0.0
S10,1,D,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S01,2,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S01,2,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;dependency_trace,,,,,evidence_collection;dependency_trace,C,C,C,0.3333333333333333,4,False,False,0.0
S01,2,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S01,2,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;dependency_trace,dependency_trace,dependency_trace,,evidence_collection,dependency_trace,C,E,E,0.0,2,False,False,-0.3333333333333333
S02,2,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S02,2,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;comparison_experiment,,,,,evidence_collection;comparison_experiment,C,F,F,0.2,5,False,False,-0.04999999999999999
S02,2,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S02,2,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;comparison_experiment,evidence_collection,evidence_collection,,comparison_experiment,evidence_collection,C,A,A,0.0,3,False,False,-0.25
S03,2,A,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,,A,0.0,3,False,False,0.0
S03,2,C,NO_CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;dependency_trace,,,,,evidence_collection;request_id_trace;dependency_trace,A,A,A,0.0,3,False,False,0.0
S03,2,D,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S03,2,B,NO_CLEAR_SUPPORT,valid,3,2,2,evidence_collection;request_id_trace;dependency_trace,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,dependency_trace,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S04,2,A,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S04,2,C,AMBIGUOUS_SUPPORT,valid,3,,3,request_id_trace;dependency_trace;binary_isolation,,,,,request_id_trace;dependency_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
S04,2,D,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S04,2,B,AMBIGUOUS_SUPPORT,valid,3,2,1,request_id_trace;dependency_trace;binary_isolation,evidence_collection;request_id_trace,request_id_trace,evidence_collection,dependency_trace;binary_isolation,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,0.0
S05,2,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S05,2,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,2,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S05,2,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;request_id_trace,evidence_collection,evidence_collection,,request_id_trace,evidence_collection,C,A,A,0.0,3,False,False,-0.3333333333333333
S06,2,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,,C,0.25,4,False,True,0.0
S06,2,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;comparison_experiment;dependency_trace,,,,,evidence_collection;comparison_experiment;dependency_trace,C,D,D,1.0,1,True,True,0.75
S06,2,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,C,C,0.25,4,False,True,0.0
S06,2,B,CLEAR_SUPPORT,valid,3,1,1,evidence_collection;comparison_experiment;dependency_trace,evidence_collection,evidence_collection,,comparison_experiment;dependency_trace,evidence_collection,C,D,D,1.0,1,True,True,0.75
S07,2,A,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S07,2,C,AMBIGUOUS_SUPPORT,valid,2,,2,dependency_trace;binary_isolation,,,,,dependency_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
S07,2,D,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S07,2,B,AMBIGUOUS_SUPPORT,valid,2,1,1,dependency_trace;binary_isolation,dependency_trace,dependency_trace,,binary_isolation,dependency_trace,C,E,E,0.0,2,False,False,0.0
S08,2,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S08,2,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;comparison_experiment,,,,,evidence_collection;request_id_trace;comparison_experiment,C,A,A,0.0,3,False,False,-0.25
S08,2,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S08,2,B,CLEAR_SUPPORT,valid,3,1,1,evidence_collection;request_id_trace;comparison_experiment,evidence_collection,evidence_collection,,request_id_trace;comparison_experiment,evidence_collection,C,A,A,0.0,3,False,False,-0.25
S09,2,A,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,,A,0.0,3,False,False,0.0
S09,2,C,NO_CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,2,D,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S09,2,B,NO_CLEAR_SUPPORT,valid,2,1,1,evidence_collection;request_id_trace,evidence_collection,evidence_collection,,request_id_trace,evidence_collection,A,D,D,0.0,1,False,False,0.0
S10,2,A,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S10,2,C,AMBIGUOUS_SUPPORT,valid,2,,2,request_id_trace;binary_isolation,,,,,request_id_trace;binary_isolation,C,A,A,0.0,3,False,False,0.0
S10,2,D,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S10,2,B,AMBIGUOUS_SUPPORT,valid,2,1,1,request_id_trace;binary_isolation,request_id_trace,request_id_trace,,binary_isolation,request_id_trace,C,A,A,0.0,3,False,False,0.0
S01,3,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S01,3,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S01,3,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;dependency_trace,evidence_collection,evidence_collection,,dependency_trace,evidence_collection,C,D,D,1.3333333333333333,1,True,True,1.0
S01,3,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;dependency_trace,,,,,evidence_collection;dependency_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S02,3,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S02,3,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S02,3,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;comparison_experiment,evidence_collection,evidence_collection,,comparison_experiment,evidence_collection,C,A,A,0.0,3,False,False,-0.25
S02,3,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;comparison_experiment,,,,,evidence_collection;comparison_experiment,C,A,A,0.0,3,False,False,-0.25
S03,3,A,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,B,,B,1.0,1,True,True,0.0
S03,3,D,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,B,C,C,0.0,4,False,False,-1.0
S03,3,B,NO_CLEAR_SUPPORT,valid,3,1,0,evidence_collection;request_id_trace;dependency_trace,comparison_experiment,,comparison_experiment,evidence_collection;request_id_trace;dependency_trace,comparison_experiment,B,,B,1.0,1,True,True,0.0
S03,3,C,NO_CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;dependency_trace,,,,,evidence_collection;request_id_trace;dependency_trace,B,A,A,0.0,3,False,False,-1.0
S04,3,A,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S04,3,D,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S04,3,B,AMBIGUOUS_SUPPORT,valid,3,1,1,request_id_trace;dependency_trace;binary_isolation,request_id_trace,request_id_trace,,dependency_trace;binary_isolation,request_id_trace,C,A,A,0.0,3,False,False,0.0
S04,3,C,AMBIGUOUS_SUPPORT,valid,3,,3,request_id_trace;dependency_trace;binary_isolation,,,,,request_id_trace;dependency_trace;binary_isolation,C,A,A,0.0,3,False,False,0.0
S05,3,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S05,3,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S05,3,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;request_id_trace,evidence_collection,evidence_collection,,request_id_trace,evidence_collection,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,3,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S06,3,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,,C,0.25,4,False,True,0.0
S06,3,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,C,C,0.25,4,False,True,0.0
S06,3,B,CLEAR_SUPPORT,valid,3,1,1,evidence_collection;comparison_experiment;dependency_trace,evidence_collection,evidence_collection,,comparison_experiment;dependency_trace,evidence_collection,C,D,D,1.0,1,True,True,0.75
S06,3,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;comparison_experiment;dependency_trace,,,,,evidence_collection;comparison_experiment;dependency_trace,C,D,D,1.0,1,True,True,0.75
S07,3,A,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S07,3,D,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S07,3,B,AMBIGUOUS_SUPPORT,valid,2,1,1,dependency_trace;binary_isolation,dependency_trace,dependency_trace,,binary_isolation,dependency_trace,C,E,E,0.0,2,False,False,0.0
S07,3,C,AMBIGUOUS_SUPPORT,valid,2,,2,dependency_trace;binary_isolation,,,,,dependency_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
S08,3,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S08,3,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S08,3,B,CLEAR_SUPPORT,valid,3,2,2,evidence_collection;request_id_trace;comparison_experiment,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,comparison_experiment,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.25
S08,3,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;comparison_experiment,,,,,evidence_collection;request_id_trace;comparison_experiment,C,A,A,0.0,3,False,False,-0.25
S09,3,A,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,,A,0.0,3,False,False,0.0
S09,3,D,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,F,F,0.2,5,False,True,0.2
S09,3,B,NO_CLEAR_SUPPORT,valid,2,2,2,evidence_collection;request_id_trace,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,3,C,NO_CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S10,3,A,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S10,3,D,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S10,3,B,AMBIGUOUS_SUPPORT,valid,2,1,1,request_id_trace;binary_isolation,request_id_trace,request_id_trace,,binary_isolation,request_id_trace,C,A,A,0.0,3,False,False,0.0
S10,3,C,AMBIGUOUS_SUPPORT,valid,2,,2,request_id_trace;binary_isolation,,,,,request_id_trace;binary_isolation,C,A,A,0.0,3,False,False,0.0
S01,4,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S01,4,B,CLEAR_SUPPORT,valid,2,1,1,evidence_collection;dependency_trace,dependency_trace,dependency_trace,,evidence_collection,dependency_trace,C,E,E,0.0,2,False,False,-0.3333333333333333
S01,4,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;dependency_trace,,,,,evidence_collection;dependency_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S01,4,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S02,4,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S02,4,B,CLEAR_SUPPORT,valid,2,2,2,evidence_collection;comparison_experiment,comparison_experiment;evidence_collection,comparison_experiment;evidence_collection,,,comparison_experiment;evidence_collection,C,A,A,0.0,3,False,False,-0.25
S02,4,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;comparison_experiment,,,,,evidence_collection;comparison_experiment,C,F,F,0.2,5,False,False,-0.04999999999999999
S02,4,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S03,4,A,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,,A,0.0,3,False,False,0.0
S03,4,B,NO_CLEAR_SUPPORT,valid,3,1,1,evidence_collection;request_id_trace;dependency_trace,request_id_trace,request_id_trace,,evidence_collection;dependency_trace,request_id_trace,A,A,A,0.0,3,False,False,0.0
S03,4,C,NO_CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;dependency_trace,,,,,evidence_collection;request_id_trace;dependency_trace,A,A,A,0.0,3,False,False,0.0
S03,4,D,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S04,4,A,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S04,4,B,AMBIGUOUS_SUPPORT,valid,3,2,1,request_id_trace;dependency_trace;binary_isolation,evidence_collection;request_id_trace,request_id_trace,evidence_collection,dependency_trace;binary_isolation,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,0.0
S04,4,C,AMBIGUOUS_SUPPORT,valid,3,,3,request_id_trace;dependency_trace;binary_isolation,,,,,request_id_trace;dependency_trace;binary_isolation,C,C,C,0.0,4,False,False,0.0
S04,4,D,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S05,4,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S05,4,B,CLEAR_SUPPORT,valid,2,2,2,evidence_collection;request_id_trace,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,4,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,4,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S06,4,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,,C,0.25,4,False,True,0.0
S06,4,B,CLEAR_SUPPORT,valid,3,2,2,evidence_collection;comparison_experiment;dependency_trace,comparison_experiment;evidence_collection,comparison_experiment;evidence_collection,,dependency_trace,comparison_experiment;evidence_collection,C,F,F,0.2,5,False,False,-0.04999999999999999
S06,4,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;comparison_experiment;dependency_trace,,,,,evidence_collection;comparison_experiment;dependency_trace,C,F,F,0.2,5,False,False,-0.04999999999999999
S06,4,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,C,C,0.25,4,False,True,0.0
S07,4,A,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S07,4,B,AMBIGUOUS_SUPPORT,valid,2,2,0,dependency_trace;binary_isolation,request_id_trace;evidence_collection,,request_id_trace;evidence_collection,dependency_trace;binary_isolation,request_id_trace;evidence_collection,C,,C,0.0,4,False,False,0.0
S07,4,C,AMBIGUOUS_SUPPORT,valid,2,,2,dependency_trace;binary_isolation,,,,,dependency_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
S07,4,D,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S08,4,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S08,4,B,CLEAR_SUPPORT,valid,3,2,2,evidence_collection;request_id_trace;comparison_experiment,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,comparison_experiment,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.25
S08,4,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;comparison_experiment,,,,,evidence_collection;request_id_trace;comparison_experiment,C,A,A,0.0,3,False,False,-0.25
S08,4,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S09,4,A,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,,A,0.0,3,False,False,0.0
S09,4,B,NO_CLEAR_SUPPORT,valid,2,2,2,evidence_collection;request_id_trace,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,4,C,NO_CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,A,A,A,0.0,3,False,False,0.0
S09,4,D,NO_CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S10,4,A,AMBIGUOUS_SUPPORT,valid,2,,0,request_id_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S10,4,B,AMBIGUOUS_SUPPORT,valid,2,2,1,request_id_trace;binary_isolation,evidence_collection;request_id_trace,request_id_trace,evidence_collection,binary_isolation,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,0.0
S10,4,C,AMBIGUOUS_SUPPORT,valid,2,,2,request_id_trace;binary_isolation,,,,,request_id_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
